Embryo_ID,Area,Mean,Min,Max,Median,Slice,Frame,MinThr,MaxThr
121216Spry_Y8_mov,0,NaN,65535,12,NaN,33,6,40,65535
121216Spry_Y8_mov,0,NaN,65535,16,NaN,34,6,40,65535
121216Spry_Y8_mov,0,NaN,65535,13,NaN,35,6,40,65535
121216Spry_Y8_mov,0,NaN,65535,20,NaN,36,6,40,65535
121216Spry_Y8_mov,0,NaN,65535,11,NaN,37,6,40,65535
121216Spry_Y8_mov,0,NaN,65535,23,NaN,38,6,40,65535
121216Spry_Y8_mov,0,NaN,65535,25,NaN,39,6,40,65535
121216Spry_Y8_mov,0,NaN,65535,30,NaN,40,6,40,65535
121216Spry_Y8_mov,0,NaN,65535,13,NaN,41,6,40,65535
121216Spry_Y8_mov,0,NaN,65535,16,NaN,42,6,40,65535
121216Spry_Y8_mov,0,NaN,65535,33,NaN,43,6,40,65535
121216Spry_Y8_mov,0,NaN,65535,11,NaN,44,6,40,65535
121216Spry_Y8_mov,0,NaN,65535,11,NaN,45,6,40,65535
121216Spry_Y8_mov,0,NaN,65535,33,NaN,46,6,40,65535
121216Spry_Y8_mov,0,NaN,65535,12,NaN,47,6,40,65535
121216Spry_Y8_mov,0,NaN,65535,11,NaN,48,6,40,65535
121216Spry_Y8_mov,0,NaN,65535,11,NaN,49,6,40,65535
121216Spry_Y8_mov,213.083,73.776,40,247,65,1,7,40,65535
121216Spry_Y8_mov,216.606,70.142,40,278,61,2,7,40,65535
121216Spry_Y8_mov,184.973,62.776,40,191,56,3,7,40,65535
121216Spry_Y8_mov,133.885,59.876,40,169,55,4,7,40,65535
121216Spry_Y8_mov,100.567,54.166,40,161,50,5,7,40,65535
121216Spry_Y8_mov,90.151,56.327,40,140,52,6,7,40,65535
121216Spry_Y8_mov,96.508,55.196,40,164,51,7,7,40,65535
121216Spry_Y8_mov,91.299,57.785,40,143,53,8,7,40,65535
121216Spry_Y8_mov,77.206,57.959,40,164,53,9,7,40,65535
121216Spry_Y8_mov,63.802,57.84,40,140,52,10,7,40,65535
121216Spry_Y8_mov,42.969,54.353,40,130,50,11,7,40,65535
121216Spry_Y8_mov,28.186,52.598,40,121,50,12,7,40,65535
121216Spry_Y8_mov,32.016,51.189,40,133,48,13,7,40,65535
121216Spry_Y8_mov,42.663,55.113,40,108,52,14,7,40,65535
121216Spry_Y8_mov,40.901,54.951,40,143,49,15,7,40,65535
121216Spry_Y8_mov,53.232,55.717,40,108,52,16,7,40,65535
121216Spry_Y8_mov,42.126,54.958,40,136,51,17,7,40,65535
121216Spry_Y8_mov,28.416,54.049,40,106,49,18,7,40,65535
121216Spry_Y8_mov,20.604,53.483,40,117,50,19,7,40,65535
121216Spry_Y8_mov,12.332,56.727,40,144,51,20,7,40,65535
121216Spry_Y8_mov,5.438,46.859,40,77,45,21,7,40,65535
121216Spry_Y8_mov,6.127,52.062,40,78,49,22,7,40,65535
121216Spry_Y8_mov,4.672,51.525,40,90,49,23,7,40,65535
121216Spry_Y8_mov,2.834,49.676,40,82,49,24,7,40,65535
121216Spry_Y8_mov,2.834,49.757,40,79,44,25,7,40,65535
121216Spry_Y8_mov,3.983,49.346,40,94,46,26,7,40,65535
121216Spry_Y8_mov,2.374,49.194,40,81,47,27,7,40,65535
121216Spry_Y8_mov,0,NaN,65535,35,NaN,28,7,40,65535
121216Spry_Y8_mov,0.306,57.5,43,70,70,29,7,40,65535
121216Spry_Y8_mov,0.153,41,41,41,41,30,7,40,65535
121216Spry_Y8_mov,0,NaN,65535,26,NaN,31,7,40,65535
121216Spry_Y8_mov,0,NaN,65535,26,NaN,32,7,40,65535
121216Spry_Y8_mov,0.153,41,41,41,41,33,7,40,65535
121216Spry_Y8_mov,0,NaN,65535,24,NaN,34,7,40,65535
121216Spry_Y8_mov,0,NaN,65535,24,NaN,35,7,40,65535
121216Spry_Y8_mov,0,NaN,65535,21,NaN,36,7,40,65535
121216Spry_Y8_mov,0,NaN,65535,31,NaN,37,7,40,65535
121216Spry_Y8_mov,0,NaN,65535,12,NaN,38,7,40,65535
121216Spry_Y8_mov,0,NaN,65535,17,NaN,39,7,40,65535
121216Spry_Y8_mov,0,NaN,65535,15,NaN,40,7,40,65535
121216Spry_Y8_mov,0,NaN,65535,16,NaN,41,7,40,65535
121216Spry_Y8_mov,0,NaN,65535,20,NaN,42,7,40,65535
121216Spry_Y8_mov,0,NaN,65535,12,NaN,43,7,40,65535
121216Spry_Y8_mov,0,NaN,65535,13,NaN,44,7,40,65535
121216Spry_Y8_mov,0,NaN,65535,12,NaN,45,7,40,65535
121216Spry_Y8_mov,0,NaN,65535,11,NaN,46,7,40,65535
121216Spry_Y8_mov,0,NaN,65535,12,NaN,47,7,40,65535
121216Spry_Y8_mov,0,NaN,65535,11,NaN,48,7,40,65535
121216Spry_Y8_mov,0,NaN,65535,11,NaN,49,7,40,65535
121216Spry_Y8_mov,207.722,71.764,40,252,62,1,8,40,65535
121216Spry_Y8_mov,219.211,65.969,40,229,59,2,8,40,65535
121216Spry_Y8_mov,175.093,62.601,40,193,57,3,8,40,65535
121216Spry_Y8_mov,124.464,59.854,40,169,55,4,8,40,65535
121216Spry_Y8_mov,125.23,56.733,40,167,52,5,8,40,65535
121216Spry_Y8_mov,116.805,56.15,40,176,52,6,8,40,65535
121216Spry_Y8_mov,114.967,57.979,40,140,53,7,8,40,65535
121216Spry_Y8_mov,85.861,57.297,40,128,52,8,8,40,65535
121216Spry_Y8_mov,64.798,57.398,40,130,52,9,8,40,65535
121216Spry_Y8_mov,50.858,54.568,40,125,49,10,8,40,65535
121216Spry_Y8_mov,34.544,52.257,40,98,49,11,8,40,65535
121216Spry_Y8_mov,59.207,54.975,40,123,51,12,8,40,65535
121216Spry_Y8_mov,68.015,56.018,40,159,53,13,8,40,65535
121216Spry_Y8_mov,73.76,58.603,40,135,54,14,8,40,65535
121216Spry_Y8_mov,65.87,56.538,40,143,51,15,8,40,65535
121216Spry_Y8_mov,44.194,56.409,40,146,51,16,8,40,65535
121216Spry_Y8_mov,34.39,54.61,40,124,52,17,8,40,65535
121216Spry_Y8_mov,22.136,52.875,40,122,48,18,8,40,65535
121216Spry_Y8_mov,10.876,52.5,40,147,48,19,8,40,65535
121216Spry_Y8_mov,4.442,55.121,40,114,50,20,8,40,65535
121216Spry_Y8_mov,4.366,49.07,40,88,45,21,8,40,65535
121216Spry_Y8_mov,9.115,52.941,40,125,49,22,8,40,65535
121216Spry_Y8_mov,6.51,48.847,40,81,48,23,8,40,65535
121216Spry_Y8_mov,3.523,48.326,40,77,45,24,8,40,65535
121216Spry_Y8_mov,3.906,48.588,40,83,43,25,8,40,65535
121216Spry_Y8_mov,2.145,49.714,40,63,50,26,8,40,65535
121216Spry_Y8_mov,0.383,48,45,54,45,27,8,40,65535
121216Spry_Y8_mov,0.766,59.2,42,76,63,28,8,40,65535
121216Spry_Y8_mov,0,NaN,65535,27,NaN,29,8,40,65535
121216Spry_Y8_mov,0,NaN,65535,19,NaN,30,8,40,65535
121216Spry_Y8_mov,0,NaN,65535,29,NaN,31,8,40,65535
121216Spry_Y8_mov,0,NaN,65535,31,NaN,32,8,40,65535
121216Spry_Y8_mov,0,NaN,65535,21,NaN,33,8,40,65535
121216Spry_Y8_mov,0,NaN,65535,32,NaN,34,8,40,65535
121216Spry_Y8_mov,0,NaN,65535,32,NaN,35,8,40,65535
121216Spry_Y8_mov,0,NaN,65535,19,NaN,36,8,40,65535
